TaskID,TotalLength,TaskOutputFileSize,TaskFileLength,CpuTime,,UserLatitude,UserLongitude,DataCenterID,VmID,ENSEMBLE_predicted_DC,GA_predicted_DC,SNAKE_predicted_DC,SNAKE_predicted_VM,ENSEMBLE_predicted_VM
1,45,20,24,3.388500389,,54.18336812,34.69151705,5,5,5,4,4,5,5
2,83,19,19,3.588795518,,-30.02294543,-156.915471,3,10,3,3,3,10,10
3,71,10,12,2.850740741,,-31.5194563,127.1652763,3,11,3,3,3,11,11
4,99,20,20,7.574646465,,-58.92487163,-94.74323796,3,5,3,3,3,5,5
5,62,13,21,3.588795518,,-39.96163765,-50.80590308,5,7,5,4,4,7,7
6,31,17,25,1.227241379,,-6.755865211,-177.9699177,3,11,3,3,3,11,11
7,10,17,19,1.111111111,,-72.48035667,-162.239668,3,3,3,3,3,3,3
8,56,19,24,2.228339307,,66.19953914,-67.92225945,5,11,5,5,5,11,11
9,58,11,23,4.447219447,,-11.09737593,-122.0971187,3,5,3,3,3,5,5
10,88,20,15,5.155956323,,58.34922977,125.8963249,5,7,5,5,5,7,7
11,76,18,12,3.002534503,,31.78219519,-136.7079179,5,11,5,5,5,11,11
12,79,12,25,6.029082029,,49.5527074,-16.55889454,4,5,4,4,4,5,5
13,86,15,18,4.48353236,,81.27083609,150.1342356,5,8,5,5,5,8,8
14,90,11,18,3.098671775,,-1.229494124,-45.62254276,4,13,4,4,4,13,13
15,31,13,18,2.343766234,,-74.20794777,61.12047444,3,5,3,3,3,5,5
16,98,15,23,7.49972139,,35.68501386,167.9380228,5,5,5,5,5,5,5
17,34,16,19,2.266666667,,-31.1728593,-76.67553985,4,6,4,4,4,6,6
18,21,16,13,0.84,,74.96023019,89.97552051,5,11,5,5,5,11,11
19,50,11,22,3.28353236,,64.17132278,-90.71801725,5,6,5,5,5,6,6
20,91,14,12,2.960740741,,14.35200002,-51.01208948,4,14,4,5,4,13,14
21,51,12,14,3.94982684,,24.71925652,81.25599743,4,5,4,4,4,5,5
22,75,11,25,3.908278304,,-74.2621675,44.30535653,3,8,3,3,4,8,8
23,19,16,14,0.746564496,,50.55889041,160.6832497,5,11,5,5,5,11,11
24,78,11,11,5.961926962,,79.99709249,97.14070446,5,5,5,5,5,5,5
25,68,11,19,2.740949203,,-65.88917104,64.42142294,3,11,3,4,3,11,11
26,63,20,20,4.182958611,,-69.91885535,13.46896654,3,6,3,4,3,6,6
27,47,12,10,3.596736597,,17.06144022,138.7733985,4,5,4,5,4,5,5
28,52,15,22,3.424866514,,47.88238175,7.660521549,4,6,4,4,4,6,6
29,60,20,21,2.378148148,,54.82365116,-133.6614827,5,11,5,5,5,11,11
30,34,12,16,2.553224553,,0.757443728,-39.88683566,4,5,4,5,4,5,5
31,87,17,17,6.655454545,,35.09859066,85.30998246,4,5,4,4,4,5,5
32,63,20,20,4.181119038,,-19.90466117,98.47241726,3,6,3,4,3,6,6
33,97,17,16,3.848735632,,-39.97354144,-55.8066248,4,11,4,4,4,11,11
34,11,19,14,0.733333333,,5.49724825,55.67885533,4,6,4,4,4,6,6
35,56,13,25,2.647619048,,-25.40180573,55.48389888,4,9,4,4,4,9,9
36,15,16,20,0.6,,-83.07863729,-143.9726142,3,11,3,3,3,11,11
37,18,10,14,1.96969697,,73.39866317,97.25146941,5,3,5,5,5,3,3
38,98,13,16,7.479409479,,-52.74778468,-22.34001573,4,5,4,4,4,5,5
39,20,13,20,0.79,,-39.67163928,-109.3514524,3,11,3,3,3,11,11
40,87,12,12,5.116597119,,-83.27481537,15.30310729,3,7,3,3,3,7,7
41,73,20,23,2.888275862,,58.8776763,-167.0418711,5,11,5,5,5,11,11
42,97,20,17,7.435120435,,19.17397905,-91.47545477,5,5,5,4,5,5,5
43,90,12,25,3.569706258,,-88.33167043,18.49093485,3,11,3,3,3,11,11
44,37,20,14,2.428571429,,-66.79503871,-136.0763397,3,6,3,3,3,6,6
45,66,16,22,3.432880154,,76.29551035,170.1080833,5,8,5,5,5,8,9
46,80,15,13,6.130979021,,-74.76857982,-130.9807946,3,5,3,3,3,5,5
47,32,12,20,1.28,,-37.7168921,32.98223622,4,11,4,4,4,11,11
48,53,14,18,3.083591331,,-75.41502906,41.26975185,3,7,3,4,4,7,7
49,20,13,21,0.775338442,,-37.20496018,-4.044982186,4,11,4,4,4,11,11
50,74,13,16,2.740740741,,-36.03785637,15.1963197,4,12,4,4,4,12,12
51,85,12,13,5.616760507,,65.47054944,65.72382853,5,6,4,5,5,6,5
52,40,16,18,3.008547009,,-12.97413107,-101.6686268,3,5,3,3,3,5,5
53,72,17,13,5.526806527,,25.16458447,131.9879296,4,5,4,4,5,5,5
54,69,16,16,2.76,,-60.03334879,122.4058515,3,11,3,3,3,11,11
55,14,15,20,0.933333333,,-49.6059937,67.92999332,4,6,4,4,4,6,6
56,56,19,11,3.722492933,,5.231078235,-107.7587888,5,6,5,5,5,6,6
57,85,11,25,3.363703704,,43.54240079,16.15949041,4,11,4,4,4,11,11
58,86,14,18,6.578088578,,51.82660213,54.30256554,4,5,4,4,4,5,5
59,29,10,19,1.929047619,,21.98333568,-11.8459982,5,6,5,4,5,6,6
60,49,15,11,3.248043382,,-55.28268014,14.48007881,3,6,4,4,4,6,6
61,16,20,23,1.72039072,,-32.01627504,42.57061188,4,3,4,4,4,3,3
62,71,14,21,4.711064041,,85.42837506,21.68435626,5,6,5,5,5,6,6
63,11,19,15,0.379310345,,84.62820163,15.35178324,5,13,5,5,5,11,13
64,31,12,14,2.747474747,,17.32757832,87.08880722,4,4,4,4,4,4,4
65,47,16,21,1.88,,65.57971619,-110.4556977,5,11,5,5,5,11,11
66,33,18,11,2.910866911,,-16.42168125,22.1936896,4,4,4,4,4,4,4
67,23,14,12,2.062049062,,-26.2312513,-94.73387901,3,4,3,3,3,4,4
68,34,12,16,1.336206897,,-72.31925496,-56.28662089,3,11,3,3,3,11,11
69,82,12,10,5.417333487,,-66.6554618,-22.30227136,3,6,3,3,3,6,6
70,54,10,24,1.966871009,,88.74267637,-173.249319,5,12,5,5,5,12,12
71,54,12,14,4.113442113,,-37.86927966,83.55272489,3,5,3,3,3,5,5
72,85,18,18,3.385338442,,-10.37500771,-37.87417691,4,11,4,4,4,11,11
73,66,15,20,5.068376068,,-26.11135199,-113.5896197,3,5,3,3,3,5,5
74,73,15,22,3.474008551,,-78.89433388,-29.12795489,3,9,3,3,3,9,9
75,98,17,17,7.517482517,,-5.297044609,6.931628084,4,5,4,4,4,5,5
76,15,10,11,0.6,,39.42414995,-153.8956201,5,11,5,5,5,11,11
77,93,13,15,3.436512998,,-6.732558649,-176.4844155,3,12,3,3,3,12,12
78,79,14,16,5.217233621,,-86.65299142,9.113636595,3,6,3,3,3,6,5
79,69,10,23,4.001928094,,-29.64727837,-11.56266093,4,7,4,4,4,7,7
80,10,15,12,1.079365079,,-44.02831537,34.38420034,4,3,4,4,4,3,3
81,79,11,16,6.027972028,,8.275315664,-110.9685058,5,5,5,5,5,5,5
82,76,11,23,3.013333333,,88.95140827,-84.67102274,5,11,5,5,5,11,11
83,30,10,18,1.986880244,,-81.32043279,12.49994584,3,6,3,3,4,6,6
84,12,10,23,1.333333333,,-79.77598955,29.21503124,3,3,3,3,3,3,3
85,73,19,20,5.608391608,,35.90858326,-143.9520089,5,5,5,5,5,5,5
86,98,14,11,3.345580686,,61.80002689,109.9971818,5,13,5,5,5,13,13
87,21,13,18,1.227647059,,-60.78541833,-33.26619153,3,7,3,4,3,7,7
88,22,11,22,1.419607843,,-34.66505137,162.6646312,3,6,3,3,3,6,6
89,88,12,11,5.170743996,,32.33192679,148.984507,5,7,5,5,5,7,7
90,82,13,19,6.265734266,,31.25269415,77.94817008,4,5,4,4,4,5,5
91,31,11,14,1.205925926,,-33.88346514,-70.88762161,5,11,5,5,5,11,11
92,60,20,18,3.538375286,,10.53658797,-140.6359484,5,7,5,5,5,7,7
