TotalLength	TaskOutputFileSize	TaskFileLength
45	20	24
83	19	19
71	10	12
99	20	20
62	13	21
31	17	25
10	17	19
56	19	24
58	11	23
88	20	15
76	18	12
79	12	25
86	15	18
90	11	18
31	13	18
98	15	23
34	16	19
21	16	13
50	11	22
91	14	12
51	12	14
75	11	25
19	16	14
78	11	11
68	11	19
63	20	20
47	12	10
52	15	22
60	20	21
34	12	16
87	17	17
63	20	20
97	17	16
11	19	14
56	13	25
15	16	20
18	10	14
98	13	16
20	13	20
87	12	12
73	20	23
97	20	17
90	12	25
37	20	14
66	16	22
80	15	13
32	12	20
53	14	18
20	13	21
74	13	16
85	12	13
40	16	18
72	17	13
69	16	16
14	15	20
56	19	11
85	11	25
86	14	18
29	10	19
49	15	11
16	20	23
71	14	21
11	19	15
31	12	14
47	16	21
33	18	11
23	14	12
34	12	16
82	12	10
54	10	24
54	12	14
85	18	18
66	15	20
73	15	22
98	17	17
15	10	11
93	13	15
79	14	16
69	10	23
10	15	12
79	11	16
76	11	23
30	10	18
12	10	23
73	19	20
98	14	11
21	13	18
22	11	22
88	12	11
82	13	19
31	11	14
60	20	18
67	18	18
28	18	16
46	15	18
34	11	12
30	15	22
13	18	10
88	14	25
29	19	21
88	15	18
25	14	23
86	14	21
72	10	22
89	14	25
99	17	13
13	10	13
15	10	13
96	12	12
78	10	11
10	15	25
35	20	17
31	10	12
52	14	12
12	13	23
27	13	15
34	12	23
83	18	21
40	19	17
99	17	24
77	14	18
66	14	25
25	12	15
17	19	10
68	16	11
15	20	17
21	12	13
46	20	21
23	12	13
74	15	22
30	11	12
53	19	13
21	13	23
26	12	25
100	13	18
19	18	12
30	12	25
28	11	17
75	19	16
94	10	23
88	16	20
24	18	18
24	19	18
73	15	17
56	14	14
19	18	25
85	11	15
23	14	10
26	16	10
67	11	12
86	13	23
63	16	15
79	17	16
90	15	19
43	10	23
30	12	18
46	16	14
62	13	19
38	15	21
14	11	19
11	14	14
67	12	25
38	12	15
91	12	11
30	13	18
72	19	24
73	10	22
98	20	24
45	12	24
47	10	21
97	17	11
48	19	23
30	12	10
70	16	12
50	11	18
61	15	12
66	20	12
18	13	17
42	17	22
50	16	10
62	12	19
94	18	13
82	18	11
15	10	16
61	15	24
33	13	11
86	12	12
93	15	22
80	15	12
13	19	24
61	18	11
52	20	23
93	13	23
25	14	21
27	12	25
14	13	16
30	10	11
88	10	11
57	19	19
74	14	17
61	11	25
88	14	25
26	10	20
69	10	14
17	20	18
87	17	15
81	13	13
26	10	15
100	18	21
59	20	17
27	20	17
32	19	14
58	18	15
58	14	19
88	16	20
22	19	10
30	16	21
19	17	11
50	13	19
26	12	15
45	17	12
74	20	18
11	13	17
17	17	23
22	16	17
27	13	15
56	17	13
73	20	12
78	14	15
79	20	11
76	17	17
18	12	24
26	13	23
28	17	24
23	16	19
46	11	23
96	17	12
33	18	10
35	10	21
13	16	24
81	20	20
11	17	13
25	18	24
58	20	24
68	15	14
40	15	14
63	15	25
96	10	21
94	14	15
22	11	10
40	17	15
