Cloudlet_ID,VM_ID,Status,Datacenter_ID,Length_MI,Exec_Start_Time,Exec_Finish_Time,Actual_CPU_Time,Waiting_Time
4,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
9,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
14,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
19,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
24,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
29,4,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
0,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
5,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
10,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
15,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
20,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
25,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
30,0,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
1,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
6,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
11,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
16,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
21,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
26,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
31,1,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
2,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
7,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
12,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
17,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
22,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
27,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
32,2,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
3,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
8,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
13,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
18,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
23,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
28,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
33,3,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
37,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
42,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
47,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
52,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
57,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
62,8,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
38,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
43,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
48,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
53,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
58,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
63,9,SUCCESS,2,40000,0.01,2399.97,2399.96,0.00
34,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
39,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
44,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
49,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
54,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
59,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
64,5,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
35,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
40,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
45,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
50,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
55,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
60,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
65,6,SUCCESS,2,40000,0.01,2799.95,2799.94,0.00
