VM_ID,MIPS,RAM_MB,BW_Mbps,PEs,Host_ID,Status,Datacenter
0,100,256,500,1,N/A,ACTIVE,N/A
1,100,256,500,1,N/A,ACTIVE,N/A
2,100,256,500,1,N/A,ACTIVE,N/A
3,100,256,500,1,N/A,ACTIVE,N/A
4,100,256,500,1,N/A,ACTIVE,N/A
5,100,256,500,1,N/A,ACTIVE,N/A
6,100,256,500,1,N/A,ACTIVE,N/A
7,100,256,500,1,N/A,ACTIVE,N/A
8,100,256,500,1,N/A,ACTIVE,N/A
9,100,256,500,1,N/A,ACTIVE,N/A
10,100,256,500,1,N/A,ACTIVE,N/A
11,100,256,500,1,N/A,ACTIVE,N/A
12,100,256,500,1,N/A,ACTIVE,N/A
13,100,256,500,1,N/A,ACTIVE,N/A
14,100,256,500,1,N/A,ACTIVE,N/A
